CITY,PRICE,STATE,COUNTY,ZIPCODE,BEDROOMS,LATITUDE,BATHROOMS,LONGITUDE,STATEFIPS,COUNTYFIPS,LISTEDDATE,CREATEDDATE,LISTINGTYPE,ADDRESSLINE1,DAYSONMARKET,LASTSEENDATE,PROPERTYTYPE,SQUAREFOOTAGE
Austin,1500,TX,Travis,78703,1,30.287048,1.0,-97.772408,48,453,2025-12-05,2025-12-06,Standard,2514 W 12th St,44,2026-01-17,Apartment,710.0
Austin,3295,TX,Travis,78745,3,30.213503,2.0,-97.807671,48,453,2025-12-04,2025-12-06,Standard,2317 Amur Dr,45,2026-01-17,Single Family,1650.0
Austin,2100,TX,Travis,78751,3,30.319338,2.5,-97.710117,48,453,2025-12-04,2025-09-06,Standard,909 Reinli St,45,2026-01-17,Condo,1260.0
Austin,1100,TX,Travis,78741,1,30.217301,1.5,-97.739334,48,453,2025-12-02,2024-06-22,Standard,2208 Mission Hill Cir,47,2026-01-17,Multi-Family,2293.0
Austin,1695,TX,Travis,78758,2,30.391544,2.0,-97.703819,48,453,2025-12-05,2023-04-07,Standard,11308 Ptarmigan Cv,44,2026-01-17,Multi-Family,1948.0
Austin,2400,TX,Travis,78757,3,30.361424,2.0,-97.723726,48,453,2025-12-06,2025-12-07,Standard,8302 Renton Dr,43,2026-01-17,Single Family,1218.0
Austin,2100,TX,Travis,78705,2,30.293678,1.0,-97.735139,48,453,2025-12-08,2019-08-02,Standard,3011 Speedway,41,2026-01-17,Condo,689.0
Austin,1200,TX,Travis,78705,1,30.28743,1.0,-97.749061,48,453,2025-11-20,2021-06-17,Standard,1010 W 23rd St,59,2026-01-17,Apartment,480.0
Austin,2195,TX,Travis,78748,2,30.190138,2.5,-97.835308,48,453,2025-12-05,2024-04-21,Standard,3101 N Davis Ln,44,2026-01-17,Condo,1473.0
Austin,4500,TX,Travis,78704,5,30.242826,4.5,-97.738892,48,453,2025-12-10,2025-07-10,New Construction,1603 Chelsea Ln,39,2026-01-17,Single Family,2293.0
Austin,1300,TX,Travis,78744,1,30.219734,1.0,-97.686958,48,453,2025-12-08,2025-12-09,Standard,9 La Posada Cir,41,2026-01-17,Manufactured,480.0
Austin,1425,TX,Travis,78759,2,30.412973,2.0,-97.730272,48,453,2025-12-02,2020-09-26,Standard,11800 Alpheus Ave Apt B,47,2026-01-17,Multi-Family,1004.0
Austin,874,TX,Travis,78758,1,30.406796,1.0,-97.697869,48,453,2025-12-05,2020-06-18,Standard,12166 Metric Blvd,44,2026-01-17,Condo,559.0
Austin,1195,TX,Travis,78705,1,30.301856,1.0,-97.735286,48,453,2025-01-03,2019-04-28,Standard,302 W 38th St,365,2026-01-17,Apartment,480.0
Austin,1550,TX,Travis,78745,2,30.203194,1.0,-97.78896,48,453,2025-12-03,2023-02-10,Standard,806 Sirocco Dr,46,2026-01-17,Multi-Family,900.0
Austin,1675,TX,Travis,78750,3,30.421592,2.0,-97.800623,48,453,2025-11-20,2025-11-21,Standard,9906 Hundred Oaks Cir,59,2026-01-17,Single Family,957.0
Austin,1595,TX,Travis,78744,3,30.194223,2.0,-97.730407,48,453,2025-12-05,2020-03-15,Standard,4813 Brook Creek Cv,44,2026-01-17,Single Family,1198.0
Austin,3500,TX,Travis,78751,2,30.304527,1.0,-97.730128,48,453,2025-12-02,2025-07-03,Standard,4108 Ave F,47,2026-01-17,Single Family,1064.0
